stt,school_name,school_id,location,school_type,ownership,website_url
89,TRƯỜNG ĐẠI HỌC CÔNG NGHỆ ĐÔNG Á,DDA,Bắc Ninh,Trường đại học,Tư thục,
90,TRƯỜNG ĐẠI HỌC CÔNG NGHỆ GIAO THÔNG VẬN TẢI,GTA,Hà Nội,Trường đại học,Công lập,
91,TRƯỜNG ĐẠI HỌC CÔNG NGHỆ MIỀN ĐÔNG,DMD,Đồng Nai,Trường đại học,Tư thục,
92,TRƯỜNG ĐẠI HỌC CÔNG NGHỆ SÀI GÒN,DSG,TP. Hồ Chí Minh,Trường đại học,Dân lập,
93,TRƯỜNG ĐẠI HỌC CÔNG NGHỆ TP. HỒ CHÍ MINH,DKC,TP. Hồ Chí Minh,Trường đại học,Tư thục,
94,TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,QSC,TP. Hồ Chí Minh,Trường đại học,Công lập,
95,"TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN VÀ TRUYỀN THÔNG VIỆT HÀN, ĐẠI HỌC ĐÀ NẴNG",VKU,Đà Nẵng,Trường đại học,Công lập,
96,"TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN VÀ TRUYỀN THÔNG, ĐẠI HỌC THÁI NGUYÊN",DTC,Thái Nguyên,Trường đại học,Công lập,
97,TRƯỜNG ĐẠI HỌC CÔNG NGHỆ VÀ QUẢN LÝ HỮU NGHỊ,DCQ,Hà Nội,Trường đại học,Tư thục,
98,TRƯỜNG ĐẠI HỌC CÔNG NGHỆ VẠN XUÂN,DVX,Nghệ An,Trường đại học,Tư thục,
99,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP DỆT MAY HÀ NỘI,CCM,Hà Nội,Trường đại học,Công lập,
100,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP HÀ NỘI,DCN,Hà Nội,Trường đại học,Công lập,
101,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP QUẢNG NINH,DDM,Quảng Ninh,Trường đại học,Công lập,
102,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP TP. HỒ CHÍ MINH,HUI,TP. Hồ Chí Minh,Trường đại học,Công lập,
103,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP VIỆT - HUNG,VHD,Hà Nội,Trường đại học,Công lập,
104,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP VIỆT TRÌ,VUI,Phú Thọ,Trường đại học,Công lập,
105,TRƯỜNG ĐẠI HỌC CÔNG NGHIỆP VINH,DCV,Nghệ An,Trường đại học,Tư thục,
106,TRƯỜNG ĐẠI HỌC CÔNG THƯƠNG TP. HỒ CHÍ MINH,DCT,TP. Hồ Chí Minh,Trường đại học,Công lập,
107,TRƯỜNG ĐẠI HỌC CỬU LONG,DCL,Vĩnh Long,Trường đại học,Tư thục,
108,TRƯỜNG ĐẠI HỌC CHU VĂN AN,DCA,Hưng Yên,Trường đại học,Tư thục,
109,TRƯỜNG ĐẠI HỌC DẦU KHÍ VIỆT NAM,PVU,Bà Rịa - Vũng Tàu,Trường đại học,Công lập,
110,TRƯỜNG ĐẠI HỌC DÂN LẬP PHƯƠNG ĐÔNG,DPD,Hà Nội,Trường đại học,Dân lập,
111,TRƯỜNG ĐẠI HỌC DUY TÂN,DDT,Đà Nẵng,Trường đại học,Tư thục,
112,TRƯỜNG ĐẠI HỌC DƯỢC HÀ NỘI,DKH,Hà Nội,Trường đại học,Công lập,
113,TRƯỜNG ĐẠI HỌC ĐÀ LẠT,TDL,Lâm Đồng,Trường đại học,Công lập,
114,TRƯỜNG ĐẠI HỌC ĐẠI NAM,DDN,Hà Nội,Trường đại học,Tư thục,
115,TRƯỜNG ĐẠI HỌC ĐIỆN LỰC,DDL,Hà Nội,Trường đại học,Công lập,
116,TRƯỜNG ĐẠI HỌC ĐIỀU DƯỠNG NAM ĐỊNH,YDD,Nam Định,Trường đại học,Công lập,
117,TRƯỜNG ĐẠI HỌC ĐỒNG NAI,DNU,Đồng Nai,Trường đại học,Công lập,
118,TRƯỜNG ĐẠI HỌC ĐỒNG THÁP,SPD,Đồng Tháp,Trường đại học,Công lập,
119,TRƯỜNG ĐẠI HỌC ĐÔNG Á,DAD,Đà Nẵng,Trường đại học,Tư thục,
120,TRƯỜNG ĐẠI HỌC ĐÔNG ĐÔ,DDD,Hà Nội,Trường đại học,Tư thục,
121,TRƯỜNG ĐẠI HỌC FPT,FPT,Hà Nội,Trường đại học,Tư thục,
